"filenames","NN_Pred_Median","Lower_Quantile_0.025","Upper_Quantile_0.975"
"SABL_COMBO2022_NIR0022A_PRD_1_102157421_O1",11.6168,9.86,13.8246
"SABL_COMBO2022_NIR0022A_PRD_10_102157430_O1",4.654,3.4483,6.302
"SABL_COMBO2022_NIR0022A_PRD_100_102157520_O1",6.7153,4.8741,9.1476
"SABL_COMBO2022_NIR0022A_PRD_11_102157431_O1",11.6125,9.3712,13.4172
"SABL_COMBO2022_NIR0022A_PRD_12_102157432_O1",3.4271,2.7722,4.3243
"SABL_COMBO2022_NIR0022A_PRD_13_102157433_O1",14.2274,12.3867,16.4093
"SABL_COMBO2022_NIR0022A_PRD_14_102157434_O1",9.2873,7.5687,10.9522
"SABL_COMBO2022_NIR0022A_PRD_16_102157436_O1",50.0525,45.5514,54.7734
"SABL_COMBO2022_NIR0022A_PRD_18_102157438_O1",5.6093,4.8785,6.6076
"SABL_COMBO2022_NIR0022A_PRD_19_102157439_O1",2.4012,1.8864,3.2952
"SABL_COMBO2022_NIR0022A_PRD_2_102157422_O1",11.9038,10.0921,13.8755
"SABL_COMBO2022_NIR0022A_PRD_20_102157440_O1",3.655,2.9259,4.5546
"SABL_COMBO2022_NIR0022A_PRD_22_102157442_O1",6.1492,5.1582,7.1942
"SABL_COMBO2022_NIR0022A_PRD_23_102157443_O1",7.0983,6.0155,8.552
"SABL_COMBO2022_NIR0022A_PRD_24_102157444_O1",8.366,7.1175,9.8147
"SABL_COMBO2022_NIR0022A_PRD_25_102157445_O1",2.55,2.1641,3.1649
"SABL_COMBO2022_NIR0022A_PRD_26_102157446_O1",10.9549,9.1863,12.5993
"SABL_COMBO2022_NIR0022A_PRD_27_102157447_O1",13.0514,9.5185,16.3717
"SABL_COMBO2022_NIR0022A_PRD_28_102157448_O1",6.7503,5.5758,8.1053
"SABL_COMBO2022_NIR0022A_PRD_29_102157449_O1",2.1646,1.7944,2.5344
"SABL_COMBO2022_NIR0022A_PRD_3_102157423_O1",58.3748,50.4929,63.6653
"SABL_COMBO2022_NIR0022A_PRD_30_102157450_O1",5.9398,4.8508,6.9399
"SABL_COMBO2022_NIR0022A_PRD_31_102157451_O1",3.2358,2.5752,4.1631
"SABL_COMBO2022_NIR0022A_PRD_32_102157452_O1",2.1493,1.7924,2.4536
"SABL_COMBO2022_NIR0022A_PRD_33_102157453_O1",3.3393,2.6591,4.1598
"SABL_COMBO2022_NIR0022A_PRD_34_102157454_O1",5.6264,4.0052,7.0783
"SABL_COMBO2022_NIR0022A_PRD_36_102157456_O1",5.2653,4.3212,6.1815
"SABL_COMBO2022_NIR0022A_PRD_37_102157457_O1",6.8497,5.5148,8.1139
"SABL_COMBO2022_NIR0022A_PRD_38_102157458_O1",11.1632,9.5116,12.9441
"SABL_COMBO2022_NIR0022A_PRD_4_102157424_O1",39.6528,27.3745,45.2655
"SABL_COMBO2022_NIR0022A_PRD_40_102157460_O1",8.4425,6.8573,10.039
"SABL_COMBO2022_NIR0022A_PRD_41_102157461_O1",12.6795,11.184,14.5251
"SABL_COMBO2022_NIR0022A_PRD_42_102157462_O1",33.5456,28.4957,40.3395
"SABL_COMBO2022_NIR0022A_PRD_43_102157463_O1",5.7212,5.0012,6.5657
"SABL_COMBO2022_NIR0022A_PRD_44_102157464_O1",5.4265,4.5901,6.199
"SABL_COMBO2022_NIR0022A_PRD_45_102157465_O1",5.1052,4.2996,5.9706
"SABL_COMBO2022_NIR0022A_PRD_46_102157466_O1",1.1956,0.8999,1.4472
"SABL_COMBO2022_NIR0022A_PRD_47_102157467_O1",1.7949,1.428,2.1103
"SABL_COMBO2022_NIR0022A_PRD_48_102157468_O1",3.278,2.6772,4.0276
"SABL_COMBO2022_NIR0022A_PRD_49_102157469_O1",1.543,1.1579,1.813
"SABL_COMBO2022_NIR0022A_PRD_5_102157425_O1",53.9619,48.6212,66.7582
"SABL_COMBO2022_NIR0022A_PRD_50_102157470_O1",4.2286,3.2941,5.3159
"SABL_COMBO2022_NIR0022A_PRD_51_102157471_O1",3.8829,3.2136,4.7651
"SABL_COMBO2022_NIR0022A_PRD_52_102157472_O1",6.0712,5.2835,7.0349
"SABL_COMBO2022_NIR0022A_PRD_53_102157473_O1",9.6058,7.9889,11.3751
"SABL_COMBO2022_NIR0022A_PRD_56_102157476_O1",9.9943,4.7506,17.2565
"SABL_COMBO2022_NIR0022A_PRD_58_102157478_O1",0.59,0.1122,0.8231
"SABL_COMBO2022_NIR0022A_PRD_59_102157479_O1",0.9582,0.6603,1.1834
"SABL_COMBO2022_NIR0022A_PRD_60_102157480_O1",0.7759,0.4467,0.9682
"SABL_COMBO2022_NIR0022A_PRD_61_102157481_O1",0.9794,0.7094,1.1956
"SABL_COMBO2022_NIR0022A_PRD_62_102157482_O1",1.0541,0.7826,1.2757
"SABL_COMBO2022_NIR0022A_PRD_63_102157483_O1",1.3694,1.0958,1.9512
"SABL_COMBO2022_NIR0022A_PRD_64_102157484_O1",1.1422,0.8365,1.7924
"SABL_COMBO2022_NIR0022A_PRD_65_102157485_O1",0.8302,0.5255,1.1557
"SABL_COMBO2022_NIR0022A_PRD_66_102157486_O1",0.7283,0.2827,0.9539
"SABL_COMBO2022_NIR0022A_PRD_67_102157487_O1",0.7534,0.4091,0.9422
"SABL_COMBO2022_NIR0022A_PRD_68_102157488_O1",2.0061,1.7249,2.4021
"SABL_COMBO2022_NIR0022A_PRD_69_102157489_O1",2.0842,1.3299,2.644
"SABL_COMBO2022_NIR0022A_PRD_70_102157490_O1",1.5934,0.9208,1.9306
"SABL_COMBO2022_NIR0022A_PRD_71_102157491_O1",2.7367,2.297,3.3091
"SABL_COMBO2022_NIR0022A_PRD_72_102157492_O1",1.4869,1.0909,1.7622
"SABL_COMBO2022_NIR0022A_PRD_73_102157493_O1",0.6197,0.1618,0.815
"SABL_COMBO2022_NIR0022A_PRD_74_102157494_O1",1.7099,1.4179,1.9887
"SABL_COMBO2022_NIR0022A_PRD_75_102157495_O1",1.0652,0.7175,1.9058
"SABL_COMBO2022_NIR0022A_PRD_76_102157496_O1",1.9349,1.6609,2.2326
"SABL_COMBO2022_NIR0022A_PRD_77_102157497_O1",3.5685,2.6388,4.761
"SABL_COMBO2022_NIR0022A_PRD_79_102157499_O1",2.0392,1.725,2.3399
"SABL_COMBO2022_NIR0022A_PRD_8_102157428_O1",35.6824,32.2256,40.1426
"SABL_COMBO2022_NIR0022A_PRD_80_102157500_O1",0.4156,0,0.8048
"SABL_COMBO2022_NIR0022A_PRD_81_102157501_O1",0.6971,0.2577,0.9215
"SABL_COMBO2022_NIR0022A_PRD_82_102157502_O1",1.8304,1.4611,2.1156
"SABL_COMBO2022_NIR0022A_PRD_83_102157503_O1",5.1086,4.2031,6.0662
"SABL_COMBO2022_NIR0022A_PRD_84_102157504_O1",2.0472,1.6977,2.4094
"SABL_COMBO2022_NIR0022A_PRD_86_102157506_O1",6.7927,5.4199,8.5838
"SABL_COMBO2022_NIR0022A_PRD_87_102157507_O1",4.9026,4.1944,5.7431
"SABL_COMBO2022_NIR0022A_PRD_9_102157429_O1",2.3482,1.985,2.7151
"SABL_COMBO2022_NIR0022A_PRD_90_102157510_O1",7.501,6.2767,8.8878
"SABL_COMBO2022_NIR0022A_PRD_91_102157511_O1",4.8102,3.8839,6.0328
"SABL_COMBO2022_NIR0022A_PRD_92_102157512_O1",10.4027,8.7281,12.4195
"SABL_COMBO2022_NIR0022A_PRD_94_102157514_O1",11.1423,9.056,13.3876
"SABL_COMBO2022_NIR0022A_PRD_96_102157516_O1",52.5345,42.349,63.1017
"SABL_COMBO2022_NIR0022A_PRD_97_102157517_O1",4.8059,3.7232,6.2201
"SABL_COMBO2022_NIR0022A_PRD_98_102157518_O1",1.647,1.1173,1.9528
"SABL_COMBO2022_NIR0022A_PRD_99_102157519_O1",17.7491,14.6563,20.9872
"SABL_COMBO2022_NIR0022B_PRD_101_102157521_O1",5.9685,5.0824,7.0036
"SABL_COMBO2022_NIR0022B_PRD_102_102157522_O1",7.5374,5.9719,9.181
"SABL_COMBO2022_NIR0022B_PRD_103_102157523_O1",7.6923,6.4378,9.1891
"SABL_COMBO2022_NIR0022B_PRD_106_102157526_O1",1.752,1.4682,2.0277
"SABL_COMBO2022_NIR0022B_PRD_107_102157527_O1",1.6688,1.2647,2.0111
"SABL_COMBO2022_NIR0022B_PRD_108_102157528_O1",1.4579,1.1591,1.7462
"SABL_COMBO2022_NIR0022B_PRD_109_102157529_O1",1.9436,1.6151,2.3123
"SABL_COMBO2022_NIR0022B_PRD_110_102157530_O1",1.9659,1.6686,2.2656
"SABL_COMBO2022_NIR0022B_PRD_111_102157531_O1",1.7671,1.4561,2.0505
"SABL_COMBO2022_NIR0022B_PRD_112_102157532_O1",1.8968,1.525,2.4743
"SABL_COMBO2022_NIR0022B_PRD_113_102157533_O1",1.8221,1.5383,2.0963
"SABL_COMBO2022_NIR0022B_PRD_114_102157534_O1",2.0501,1.7515,2.384
"SABL_COMBO2022_NIR0022B_PRD_116_102157536_O1",1.7893,1.5127,2.0669
